row_id,facility_id,facility_address,facility_city,facility_state,facility_zip,lat,lng,id
DA01KEPWCF045,FA0179718,346 N FORD BLVD,LOS ANGELES,CA,90022-1121,34.032087,-118.168932,1
DA006DSLSF006,FA0251976,541 S SPRING ST # 114,LOS ANGELES,CA,90013,34.04657,-118.2507,2
DA00GQVTQF008,FA0240579,4030 S CENTINELA AVE,LOS ANGELES,CA,90066,33.998875,-118.429599,3
DA00RZ5GNF008,FA0165233,13350 WASHINGTON BLVD,LOS ANGELES,CA,90066,33.992318,-118.443552,4
DA01T9PYHF032,FA0222724,3109 N SAN FERNANDO RD,LOS ANGELES,CA,90065,34.115162,-118.245892,5
DA01UVABZF014,FA0224041,5621 N FIGUEROA ST,LOS ANGELES,CA,90042,34.10938,-118.1936,6
DA02LQIHSF006,FA0006557,700 W CESAR E CHAVEZ AVE,LOS ANGELES,CA,90012,34.06081,-118.244369,7
DA045RMSEF006,FA0163712,7075 W SUNSET BLVD,LOS ANGELES,CA,90028,34.09813,-118.34386,8
DA0A3MSEBF035,FA0069277,9616 W PICO BLVD,LOS ANGELES,CA,90035,34.05497,-118.39811,9
DA0AGX00EF023,FA0159479,2500 S CENTRAL AVE,LOS ANGELES,CA,90011,34.01966,-118.25438,10
DA0AOKUROF040,FA0053921,9860 NATIONAL BLVD,LOS ANGELES,CA,90034,34.030708,-118.401697,11
DA0AS2NNXF006,FA0249129,1320 E 41ST ST,LOS ANGELES,CA,90011,34.00903,-118.25132,12
DA0BCQA0KF014,FA0033822,3400 W 8TH ST,LOS ANGELES,CA,90005,34.05755,-118.30334,13
DA0BI1CV9F029,FA0028655,1457 E FLORENCE AVE STE #109,LOS ANGELES,CA,90001,33.97506,-118.24816,14
DA0BWPJYDF014,FA0252763,524 1/2 N LA BREA AVE,LOS ANGELES,CA,90036,34.08103,-118.34385,15
DA0CCYKF7F014,FA0059112,419 N FAIRFAX AVE,LOS ANGELES,CA,90036,34.07859,-118.36153,16
DA0CP0099F007,FA0178325,11127 PALMS BLVD,LOS ANGELES,CA,90034,34.01995,-118.42101,17
DA0CS19POF009,FA0249293,10401 VENICE BLVD # 101B,LOS ANGELES,CA,90034,34.02052,-118.404333,18
DA0E1TMOAF007,FA0043982,11355 W OLYMPIC BLVD STE #302,LOS ANGELES,CA,90064,34.03766,-118.44264,19
DA0E5RCVYF023,FA0242118,261 S KENMORE ST,LOS ANGELES,CA,90004,34.07559,-118.29687,20
