row_id,facility_id,score,grade,id
DA01KEPWCF045,FA0179718,93,A,1
DA006DSLSF006,FA0251976,95,A,2
DA006DSLSF040,FA0251976,95,A,3
DA006DSLSF052,FA0251976,95,A,4
DA00GQVTQF008,FA0240579,96,A,5
DA00GQVTQF014,FA0240579,96,A,6
DA00RZ5GNF008,FA0165233,96,A,7
DA00RZ5GNF033,FA0165233,96,A,8
DA00RZ5GNF046,FA0165233,96,A,9
DA01KEPWCF007,FA0179718,93,A,10
DA01KEPWCF030,FA0179718,93,A,11
DA01KEPWCF035,FA0179718,93,A,12
DA01KEPWCF042,FA0179718,93,A,13
DA01KEPWCF044,FA0179718,93,A,14
DA01T9PYHF032,FA0222724,98,A,15
DA01T9PYHF035,FA0222724,98,A,16
DA01UVABZF014,FA0224041,93,A,17
DA01UVABZF023,FA0224041,93,A,18
DA01UVABZF033,FA0224041,93,A,19
DA01UVABZF040,FA0224041,93,A,20
DA01UVABZF044,FA0224041,93,A,21
DA02LQIHSF006,FA0006557,96,A,22
DA02LQIHSF040,FA0006557,96,A,23
DA02LQIHSF044,FA0006557,96,A,24
DA045RMSEF006,FA0163712,90,A,25
DA045RMSEF007,FA0163712,90,A,26
DA045RMSEF014,FA0163712,90,A,27
DA045RMSEF034,FA0163712,90,A,28
DA045RMSEF044,FA0163712,90,A,29
DA0A3MSEBF035,FA0069277,97,A,30
DA0A3MSEBF037,FA0069277,97,A,31
DA0A3MSEBF044,FA0069277,97,A,32
DA0AGX00EF023,FA0159479,95,A,33
DA0AGX00EF033,FA0159479,95,A,34
DA0AGX00EF040,FA0159479,95,A,35
DA0AGX00EF044,FA0159479,95,A,36
DA0AOKUROF040,FA0053921,98,A,37
DA0AOKUROF044,FA0053921,98,A,38
DA0AS2NNXF006,FA0249129,93,A,39
DA0AS2NNXF038,FA0249129,93,A,40
DA0AS2NNXF052,FA0249129,93,A,41
DA0AS2NNXF055,FA0249129,93,A,42
DA0BCQA0KF014,FA0033822,90,A,43
DA0BCQA0KF023,FA0033822,90,A,44
DA0BCQA0KF029,FA0033822,90,A,45
DA0BCQA0KF033,FA0033822,90,A,46
DA0BCQA0KF035,FA0033822,90,A,47
DA0BCQA0KF036,FA0033822,90,A,48
DA0BCQA0KF052,FA0033822,90,A,49
DA0BI1CV9F029,FA0028655,95,A,50
DA0BI1CV9F033,FA0028655,95,A,51
DA0BI1CV9F035,FA0028655,95,A,52
DA0BI1CV9F037,FA0028655,95,A,53
DA0BI1CV9F044,FA0028655,95,A,54
DA0BWPJYDF014,FA0252763,93,A,55
DA0BWPJYDF027,FA0252763,93,A,56
DA0BWPJYDF029,FA0252763,93,A,57
DA0BWPJYDF036,FA0252763,93,A,58
DA0BWPJYDF039,FA0252763,93,A,59
DA0BWPJYDF040,FA0252763,93,A,60
DA0CCYKF7F014,FA0059112,94,A,61
DA0CCYKF7F023,FA0059112,94,A,62
DA0CCYKF7F036,FA0059112,94,A,63
DA0CCYKF7F039,FA0059112,94,A,64
DA0CP0099F007,FA0178325,80,B,65
DA0CP0099F014,FA0178325,80,B,66
DA0CP0099F026,FA0178325,80,B,67
DA0CP0099F030,FA0178325,80,B,68
DA0CP0099F033,FA0178325,80,B,69
DA0CP0099F036,FA0178325,80,B,70
DA0CP0099F037,FA0178325,80,B,71
DA0CP0099F040,FA0178325,80,B,72
DA0CP0099F043,FA0178325,80,B,73
DA0CP0099F054,FA0178325,80,B,74
DA0CP0099F055,FA0178325,80,B,75
DA0CS19POF009,FA0249293,90,A,76
DA0CS19POF023,FA0249293,90,A,77
DA0CS19POF037,FA0249293,90,A,78
DA0CS19POF044,FA0249293,90,A,79
DA0CS19POF049,FA0249293,90,A,80
DA0CS19POF053,FA0249293,90,A,81
DA0E1TMOAF007,FA0043982,87,B,82
DA0E1TMOAF013,FA0043982,87,B,83
DA0E1TMOAF023,FA0043982,87,B,84
DA0E1TMOAF030,FA0043982,87,B,85
DA0E1TMOAF033,FA0043982,87,B,86
DA0E1TMOAF035,FA0043982,87,B,87
DA0E1TMOAF036,FA0043982,87,B,88
DA0E1TMOAF037,FA0043982,87,B,89
DA0E1TMOAF040,FA0043982,87,B,90
DA0E1TMOAF044,FA0043982,87,B,91
DA0E5RCVYF023,FA0242118,92,A,92
DA0E5RCVYF030,FA0242118,92,A,93
DA0E5RCVYF032,FA0242118,92,A,94
DA0E5RCVYF034,FA0242118,92,A,95
DA0E5RCVYF035,FA0242118,92,A,96
DA0E5RCVYF055,FA0242118,92,A,97
DA0EJI0SBF029,FA0012634,99,A,98
DA0EWD5BMF014,FA0250572,91,A,99
DA0EWD5BMF023,FA0250572,91,A,100
DA0EWD5BMF033,FA0250572,91,A,101
DA0EWD5BMF035,FA0250572,91,A,102
DA0EWD5BMF044,FA0250572,91,A,103
DA0EWD5BMF052,FA0250572,91,A,104
DA0EYKXIVF006,FA0243020,85,B,105
DA0EYKXIVF009,FA0243020,85,B,106
DA0EYKXIVF027,FA0243020,85,B,107
DA0EYKXIVF030,FA0243020,85,B,108
DA0EYKXIVF033,FA0243020,85,B,109
DA0EYKXIVF034,FA0243020,85,B,110
DA0EYKXIVF036,FA0243020,85,B,111
DA0EYKXIVF039,FA0243020,85,B,112
DA0EYKXIVF042,FA0243020,85,B,113
DA0EYKXIVF043,FA0243020,85,B,114
DA0EYKXIVF044,FA0243020,85,B,115
DA0EYKXIVF055,FA0243020,85,B,116
DA0FTVWMZF014,FA0069365,92,A,117
DA0FTVWMZF033,FA0069365,92,A,118
DA0FTVWMZF039,FA0069365,92,A,119
DA0FTVWMZF041,FA0069365,92,A,120
DA0FTVWMZF044,FA0069365,92,A,121
DA0HY84M8F023,FA0223991,96,A,122
DA0HY84M8F035,FA0223991,96,A,123
DA0HY84M8F043,FA0223991,96,A,124
DA0I9JFGAF034,FA0043096,98,A,125
DA0I9JFGAF040,FA0043096,98,A,126
DA0IUFFS0F007,FA0012108,92,A,127
DA0IUFFS0F029,FA0012108,92,A,128
DA0IUFFS0F030,FA0012108,92,A,129
DA0IUFFS0F034,FA0012108,92,A,130
DA0IUFFS0F037,FA0012108,92,A,131
DA0IUFFS0F038,FA0012108,92,A,132
DA0IUFFS0F039,FA0012108,92,A,133
DA0IZ0ZD9F033,FA0257578,94,A,134
DA0IZ0ZD9F034,FA0257578,94,A,135
DA0IZ0ZD9F035,FA0257578,94,A,136
DA0IZ0ZD9F040,FA0257578,94,A,137
DA0IZ0ZD9F042,FA0257578,94,A,138
DA0IZ0ZD9F044,FA0257578,94,A,139
DA0J3TQMSF006,FA0019053,96,A,140
DA0J3TQMSF036,FA0019053,96,A,141
DA0J3TQMSF044,FA0019053,96,A,142
DA0JHQF80F043,FA0024368,98,A,143
DA0JHQF80F044,FA0024368,98,A,144
DA0JHWAUWF033,FA0158536,96,A,145
DA0JHWAUWF040,FA0158536,96,A,146
DA0JHWAUWF043,FA0158536,96,A,147
DA0JHWAUWF044,FA0158536,96,A,148
DA0JINIXDF014,FA0023456,96,A,149
DA0JINIXDF023,FA0023456,96,A,150
DA0JJYLCKF007,FA0036318,90,A,151
DA0JJYLCKF008,FA0036318,90,A,152
DA0JJYLCKF009,FA0036318,90,A,153
DA0JJYLCKF026,FA0036318,90,A,154
DA0JJYLCKF033,FA0036318,90,A,155
